instance_id,feat_1,lime_1,feat_2,lime_2,feat_3,lime_3,feat_4,lime_4,feat_5,lime_5
0,purpose__A41 <= 0.00,-0.1779430312294427,savings_status_ordinal > 2.00,0.14813350652797408,-0.34 < credit_amount <= 0.25,0.14392313791142528,residence_since <= -0.76,0.10838538030706371,purpose__A40 <= 0.00,0.09415282076579612
1,purpose__A41 <= 0.00,-0.17626304959254652,savings_status_ordinal > 2.00,0.1537416084404045,duration > 0.26,-0.14883617456604376,residence_since <= -0.76,0.12174601757188497,employment_ordinal <= 2.00,-0.07833784762554881
2,purpose__A41 <= 0.00,-0.1871322584577133,duration > 0.26,-0.16721849000863587,savings_status_ordinal > 2.00,0.13728951087737046,residence_since <= -0.76,0.10971261006220066,purpose__A40 <= 0.00,0.09255229426529489
3,purpose__A41 <= 0.00,-0.17198873640643783,duration <= -0.73,0.13303974390778087,1.00 < checking_status_ordinal <= 3.00,0.11025210737460645,purpose__A40 > 0.00,-0.1092339331241273,residence_since <= -0.76,0.10883204217433773
4,purpose__A41 <= 0.00,-0.17248664804799207,savings_status_ordinal > 2.00,0.15455934023183518,duration > 0.26,-0.12508829139258323,purpose__A40 > 0.00,-0.09562593293527079,0.14 < residence_since <= 1.04,-0.08515495645360568
5,purpose__A41 <= 0.00,-0.178660270130989,savings_status_ordinal > 2.00,0.15259861381494264,duration <= -0.73,0.13631759373696714,1.00 < checking_status_ordinal <= 3.00,0.11204809309618562,credit_amount <= -0.67,-0.11117325969940292
6,purpose__A41 <= 0.00,-0.17377528322472333,-0.34 < credit_amount <= 0.25,0.14584972620463454,savings_status_ordinal > 2.00,0.14019628004635873,residence_since <= -0.76,0.11829345819096357,1.00 < checking_status_ordinal <= 3.00,0.10461970755768508
7,purpose__A41 <= 0.00,-0.16764390437063345,-0.34 < credit_amount <= 0.25,0.1360139170583161,savings_status_ordinal <= 0.00,-0.1250746449656699,purpose__A40 <= 0.00,0.09638414112176509,0.14 < residence_since <= 1.04,-0.08265680541684449
8,purpose__A41 <= 0.00,-0.19156265501406788,-0.34 < credit_amount <= 0.25,0.14229299903414666,checking_status_ordinal <= 0.00,-0.12418230474489035,savings_status_ordinal <= 0.00,-0.1134407812872774,purpose__A40 <= 0.00,0.09165511111181723
9,purpose__A41 <= 0.00,-0.17476537397094824,other_debtors__A103 <= 0.00,-0.1411374414707669,1.00 < checking_status_ordinal <= 3.00,0.10595024630978499,purpose__A40 <= 0.00,0.10196274865930116,0.14 < residence_since <= 1.04,-0.06722482505327117
10,purpose__A41 <= 0.00,-0.18322182986096266,other_debtors__A103 <= 0.00,-0.1521562241649934,credit_amount <= -0.67,-0.10561277672895522,1.00 < checking_status_ordinal <= 3.00,0.09607102011051619,employment_ordinal <= 2.00,-0.07445104064987257
11,purpose__A41 <= 0.00,-0.18253093682360122,duration <= -0.73,0.1351995329300439,savings_status_ordinal <= 0.00,-0.1240948854749144,residence_since <= -0.76,0.10727387020019079,1.00 < checking_status_ordinal <= 3.00,0.10579470118378947
12,purpose__A41 <= 0.00,-0.16672143006262827,duration > 0.26,-0.15145388088202477,savings_status_ordinal <= 0.00,-0.11705537600520831,residence_since <= -0.76,0.11522576719112952,employment_ordinal <= 2.00,-0.08388288903769313
13,purpose__A41 <= 0.00,-0.18302822962133444,duration > 0.26,-0.14294890804696148,savings_status_ordinal <= 0.00,-0.11587055847541353,purpose__A40 <= 0.00,0.09385704462890503,checking_status_ordinal <= 0.00,-0.08658568315021332
